,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
largeGathering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dorm,4.0,14.0,10.0,5.0,2.0,17.0,18.0,4.0,16.0,3.0,5.0,10.0,18.0,9.0,14.0,4.0,15.0,4.0,15.0,24.0,4.0,9.0,25.0,3.0,3.0,21.0,6.0,11.0,13.0,12.0,4.0,13.0,4.0,2.0,6.0,21.0,13.0,5.0,8.0,5.0,7.0,15.0,3.0,12.0,10.0,4.0,11.0,3.0,19.0,1.0
classroom,4.0,6.0,7.0,4.0,2.0,4.0,5.0,4.0,19.0,0.0,1.0,4.0,9.0,8.0,10.0,3.0,8.0,1.0,12.0,11.0,1.0,11.0,13.0,0.0,3.0,11.0,14.0,9.0,12.0,4.0,3.0,14.0,1.0,3.0,3.0,8.0,6.0,3.0,7.0,2.0,7.0,13.0,3.0,6.0,2.0,2.0,11.0,2.0,10.0,1.0
dining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,8.0,24.0,26.0,11.0,2.0,26.0,30.0,6.0,29.0,6.0,3.0,13.0,40.0,20.0,32.0,14.0,14.0,10.0,38.0,62.0,1.0,27.0,58.0,1.0,3.0,38.0,7.0,10.0,27.0,15.0,5.0,31.0,7.0,0.0,11.0,48.0,20.0,15.0,13.0,7.0,10.0,29.0,4.0,31.0,24.0,2.0,14.0,0.0,44.0,0.0
transit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,3.0,1.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,4.0,0.0,5.0,4.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,9.0,2.0,2.0,5.0,6.0,5.0,4.0,6.0,7.0,11.0,8.0,2.0,4.0,3.0,3.0,3.0,5.0,3.0,2.0,7.0,4.0,4.0,6.0,5.0,4.0,3.0,2.0,2.0,5.0
office,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
total,26.0,52.0,54.0,35.0,14.0,57.0,61.0,23.0,74.0,19.0,20.0,34.0,79.0,48.0,66.0,30.0,49.0,25.0,74.0,108.0,17.0,65.0,105.0,14.0,23.0,83.0,44.0,41.0,65.0,50.0,30.0,74.0,21.0,18.0,30.0,87.0,49.0,38.0,39.0,23.0,38.0,68.0,21.0,62.0,48.0,19.0,46.0,14.0,82.0,18.0
max,12.0,20.0,12.0,10.0,10.0,11.0,18.0,11.0,13.0,9.0,11.0,13.0,15.0,11.0,12.0,13.0,18.0,10.0,20.0,21.0,12.0,13.0,21.0,9.0,10.0,17.0,13.0,13.0,12.0,11.0,12.0,12.0,12.0,11.0,11.0,13.0,13.0,9.0,12.0,9.0,10.0,14.0,9.0,16.0,12.0,13.0,12.0,10.0,20.0,8.0
