,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
largeGathering,0.0,6.0,1.0,3.0,3.0,3.0,1.0,0.0,4.0,0.0,11.0,1.0,0.0,1.0,8.0,0.0,1.0,5.0,0.0,0.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,9.0,1.0,0.0,1.0,1.0,7.0,3.0,5.0,7.0,2.0,0.0,8.0,2.0,20.0,4.0,6.0,0.0,1.0,4.0,7.0,0.0,9.0,9.0
dorm,20.0,60.0,32.0,25.0,49.0,20.0,46.0,9.0,37.0,37.0,59.0,5.0,26.0,31.0,68.0,13.0,51.0,51.0,14.0,19.0,33.0,32.0,42.0,43.0,21.0,27.0,22.0,65.0,37.0,23.0,46.0,44.0,51.0,60.0,12.0,62.0,62.0,31.0,69.0,25.0,55.0,29.0,52.0,16.0,12.0,48.0,77.0,12.0,30.0,43.0
classroom,7.0,22.0,18.0,8.0,21.0,4.0,20.0,6.0,15.0,18.0,13.0,5.0,8.0,13.0,23.0,2.0,26.0,14.0,9.0,5.0,11.0,15.0,19.0,35.0,6.0,9.0,7.0,25.0,12.0,9.0,21.0,16.0,24.0,29.0,5.0,18.0,31.0,11.0,21.0,9.0,17.0,10.0,18.0,9.0,3.0,21.0,22.0,2.0,4.0,19.0
dining,6.0,11.0,12.0,3.0,22.0,3.0,9.0,2.0,11.0,12.0,20.0,0.0,6.0,7.0,18.0,2.0,7.0,13.0,2.0,4.0,6.0,8.0,8.0,8.0,4.0,11.0,6.0,18.0,11.0,3.0,12.0,8.0,9.0,15.0,5.0,13.0,10.0,5.0,20.0,9.0,11.0,6.0,10.0,1.0,4.0,15.0,15.0,2.0,7.0,4.0
library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,10.0,39.0,27.0,25.0,33.0,16.0,40.0,3.0,34.0,33.0,48.0,1.0,25.0,25.0,67.0,11.0,40.0,48.0,18.0,11.0,28.0,20.0,31.0,44.0,12.0,32.0,15.0,56.0,34.0,29.0,40.0,36.0,50.0,53.0,7.0,41.0,58.0,19.0,59.0,20.0,61.0,21.0,44.0,14.0,13.0,47.0,81.0,8.0,25.0,26.0
transit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,3.0,7.0,8.0,5.0,8.0,9.0,6.0,11.0,11.0,4.0,9.0,6.0,5.0,7.0,5.0,6.0,8.0,10.0,9.0,6.0,10.0,7.0,10.0,4.0,5.0,1.0,10.0,11.0,5.0,11.0,5.0,6.0,7.0,1.0,10.0,5.0,4.0,6.0,7.0,7.0,9.0,4.0,5.0,9.0,4.0,8.0,12.0,4.0,7.0,7.0
office,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
total,51.0,150.0,103.0,74.0,141.0,61.0,127.0,39.0,117.0,109.0,166.0,30.0,75.0,90.0,194.0,39.0,138.0,146.0,57.0,50.0,97.0,89.0,118.0,143.0,55.0,86.0,68.0,189.0,105.0,80.0,130.0,116.0,153.0,166.0,49.0,151.0,172.0,77.0,189.0,77.0,178.0,79.0,140.0,54.0,42.0,148.0,219.0,34.0,87.0,113.0
max,18.0,21.0,22.0,14.0,27.0,19.0,23.0,10.0,17.0,17.0,22.0,11.0,15.0,17.0,27.0,13.0,27.0,21.0,13.0,10.0,18.0,18.0,20.0,21.0,14.0,11.0,13.0,25.0,17.0,20.0,20.0,14.0,25.0,23.0,12.0,17.0,23.0,10.0,23.0,14.0,26.0,17.0,21.0,13.0,10.0,23.0,26.0,10.0,16.0,20.0
