,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
largeGathering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dorm,13.0,3.0,8.0,7.0,11.0,5.0,10.0,14.0,6.0,26.0,10.0,13.0,5.0,13.0,13.0,4.0,12.0,9.0,3.0,12.0,10.0,4.0,7.0,10.0,23.0,12.0,11.0,5.0,4.0,3.0,13.0,4.0,2.0,2.0,13.0,22.0,4.0,4.0,1.0,6.0,6.0,5.0,9.0,8.0,22.0,13.0,6.0,11.0,14.0,12.0
classroom,7.0,2.0,4.0,3.0,18.0,3.0,4.0,10.0,8.0,9.0,13.0,10.0,1.0,4.0,6.0,0.0,1.0,4.0,3.0,7.0,5.0,3.0,3.0,3.0,19.0,12.0,5.0,3.0,7.0,0.0,8.0,1.0,0.0,4.0,3.0,14.0,2.0,0.0,1.0,4.0,3.0,3.0,15.0,5.0,26.0,4.0,12.0,6.0,17.0,8.0
dining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,21.0,2.0,5.0,7.0,27.0,15.0,17.0,17.0,11.0,45.0,15.0,17.0,5.0,16.0,11.0,2.0,9.0,10.0,4.0,15.0,12.0,6.0,7.0,15.0,53.0,12.0,23.0,4.0,5.0,6.0,13.0,6.0,1.0,3.0,11.0,31.0,6.0,4.0,0.0,11.0,3.0,6.0,12.0,17.0,48.0,24.0,8.0,24.0,29.0,20.0
transit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,3.0,4.0,7.0,2.0,7.0,6.0,0.0,6.0,3.0,2.0,2.0,5.0,1.0,4.0,3.0,6.0,1.0,3.0,6.0,7.0,4.0,2.0,6.0,3.0,8.0,2.0,6.0,5.0,5.0,3.0,3.0,1.0,3.0,5.0,2.0,7.0,1.0,1.0,6.0,6.0,4.0,4.0,2.0,7.0,3.0,3.0,7.0,1.0,5.0,3.0
office,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
total,51.0,18.0,31.0,26.0,70.0,36.0,38.0,56.0,36.0,90.0,47.0,53.0,19.0,44.0,40.0,19.0,30.0,33.0,24.0,51.0,39.0,26.0,30.0,38.0,110.0,45.0,52.0,24.0,31.0,19.0,44.0,19.0,13.0,24.0,36.0,81.0,20.0,16.0,15.0,36.0,23.0,28.0,46.0,44.0,106.0,51.0,40.0,49.0,72.0,51.0
max,13.0,11.0,12.0,11.0,13.0,11.0,10.0,13.0,11.0,15.0,11.0,13.0,11.0,10.0,16.0,13.0,14.0,11.0,9.0,16.0,15.0,11.0,11.0,9.0,19.0,12.0,12.0,12.0,13.0,12.0,13.0,9.0,9.0,10.0,12.0,16.0,11.0,8.0,8.0,16.0,13.0,10.0,13.0,15.0,18.0,12.0,17.0,12.0,11.0,13.0
