,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
largeGathering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dorm,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
classroom,2.0,1.0,0.0,1.0,0.0,1.0,2.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,3.0,6.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,0.0,2.0,0.0,3.0,7.0,2.0,2.0,0.0,2.0,3.0,5.0,0.0,0.0,2.0,1.0,2.0
dining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,1.0,3.0,0.0,0.0,2.0,1.0,1.0,11.0,2.0,1.0,6.0,3.0,8.0,1.0,0.0,3.0,1.0,2.0,0.0,10.0,0.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,7.0,0.0,18.0,4.0,2.0,7.0,2.0,0.0,2.0,9.0,9.0,3.0,2.0,0.0,4.0,11.0,15.0,2.0,1.0,7.0,1.0,4.0
transit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
office,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,9.0,9.0,5.0,7.0,7.0,8.0,8.0,23.0,8.0,7.0,13.0,9.0,14.0,8.0,5.0,11.0,6.0,8.0,8.0,22.0,5.0,8.0,8.0,6.0,9.0,6.0,11.0,7.0,15.0,6.0,27.0,11.0,8.0,17.0,7.0,7.0,7.0,17.0,21.0,10.0,9.0,5.0,12.0,22.0,25.0,7.0,7.0,15.0,7.0,11.0
max,8.0,6.0,5.0,7.0,6.0,8.0,8.0,9.0,6.0,6.0,8.0,8.0,7.0,6.0,5.0,10.0,5.0,7.0,8.0,8.0,5.0,5.0,5.0,5.0,8.0,6.0,8.0,6.0,6.0,6.0,11.0,7.0,7.0,8.0,5.0,7.0,5.0,10.0,6.0,5.0,7.0,5.0,7.0,8.0,11.0,5.0,6.0,8.0,6.0,10.0
