,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
largeGathering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dorm,4.0,8.0,24.0,48.0,23.0,41.0,8.0,53.0,20.0,20.0,27.0,30.0,28.0,19.0,12.0,29.0,16.0,7.0,55.0,24.0,25.0,23.0,55.0,64.0,21.0,39.0,39.0,20.0,9.0,6.0,27.0,12.0,20.0,18.0,16.0,21.0,42.0,25.0,60.0,5.0,18.0,24.0,40.0,35.0,27.0,7.0,33.0,59.0,14.0,19.0
classroom,1.0,4.0,10.0,21.0,7.0,16.0,5.0,18.0,6.0,12.0,13.0,9.0,18.0,13.0,3.0,7.0,8.0,3.0,18.0,12.0,10.0,9.0,21.0,34.0,8.0,21.0,29.0,8.0,8.0,2.0,18.0,9.0,4.0,14.0,5.0,11.0,18.0,12.0,26.0,2.0,9.0,17.0,15.0,17.0,18.0,3.0,10.0,26.0,12.0,14.0
dining,0.0,1.0,5.0,15.0,4.0,10.0,1.0,13.0,4.0,6.0,11.0,8.0,4.0,3.0,2.0,6.0,2.0,2.0,20.0,5.0,4.0,7.0,16.0,18.0,4.0,16.0,10.0,5.0,4.0,2.0,8.0,3.0,7.0,6.0,3.0,4.0,10.0,4.0,9.0,1.0,4.0,6.0,6.0,9.0,5.0,0.0,2.0,11.0,4.0,5.0
library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,1.0,7.0,14.0,36.0,11.0,40.0,6.0,38.0,19.0,23.0,19.0,20.0,20.0,20.0,8.0,25.0,17.0,1.0,57.0,18.0,36.0,5.0,37.0,56.0,19.0,34.0,33.0,15.0,10.0,5.0,15.0,6.0,12.0,12.0,7.0,13.0,32.0,18.0,43.0,3.0,8.0,23.0,33.0,32.0,26.0,9.0,28.0,60.0,10.0,18.0
transit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,4.0,15.0,6.0,4.0,8.0,7.0,5.0,5.0,4.0,8.0,9.0,9.0,4.0,4.0,8.0,8.0,9.0,6.0,3.0,4.0,9.0,9.0,9.0,5.0,12.0,2.0,6.0,10.0,2.0,7.0,6.0,8.0,9.0,7.0,6.0,6.0,6.0,7.0,5.0,5.0,7.0,9.0,8.0,7.0,8.0,7.0,1.0,10.0,5.0,6.0
office,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
total,17.0,40.0,64.0,129.0,58.0,119.0,30.0,132.0,59.0,76.0,85.0,81.0,79.0,64.0,38.0,85.0,57.0,30.0,158.0,68.0,89.0,59.0,143.0,182.0,70.0,117.0,122.0,64.0,38.0,27.0,80.0,44.0,58.0,62.0,43.0,60.0,113.0,71.0,148.0,25.0,52.0,84.0,109.0,105.0,89.0,31.0,79.0,171.0,55.0,67.0
max,10.0,9.0,17.0,18.0,12.0,16.0,7.0,21.0,10.0,17.0,19.0,12.0,14.0,10.0,10.0,24.0,14.0,8.0,27.0,19.0,21.0,13.0,18.0,28.0,13.0,25.0,19.0,15.0,12.0,9.0,12.0,10.0,17.0,10.0,11.0,13.0,19.0,15.0,24.0,11.0,9.0,15.0,24.0,19.0,14.0,10.0,30.0,23.0,10.0,11.0
