,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
largeGathering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dorm,11.0,4.0,4.0,10.0,3.0,0.0,1.0,1.0,2.0,3.0,11.0,2.0,7.0,8.0,8.0,8.0,2.0,5.0,2.0,10.0,0.0,7.0,2.0,2.0,3.0,1.0,2.0,6.0,6.0,13.0,6.0,7.0,4.0,9.0,6.0,8.0,1.0,2.0,7.0,4.0,8.0,2.0,5.0,6.0,1.0,3.0,5.0,4.0,3.0,5.0
classroom,11.0,1.0,1.0,7.0,3.0,1.0,2.0,0.0,2.0,1.0,6.0,3.0,4.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,6.0,3.0,3.0,5.0,1.0,11.0,3.0,12.0,7.0,4.0,4.0,10.0,0.0,1.0,7.0,0.0,11.0,0.0,1.0,10.0,0.0,2.0,2.0,1.0,2.0,8.0
dining,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,8.0,3.0,0.0,9.0,3.0,1.0,3.0,1.0,4.0,1.0,13.0,2.0,7.0,7.0,6.0,6.0,1.0,4.0,1.0,9.0,1.0,4.0,2.0,1.0,1.0,0.0,7.0,11.0,5.0,10.0,7.0,5.0,9.0,11.0,1.0,7.0,0.0,0.0,3.0,2.0,3.0,1.0,3.0,3.0,5.0,1.0,5.0,3.0,4.0,4.0
transit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,5.0,6.0,3.0,3.0,6.0,3.0,1.0,5.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,2.0,5.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,5.0,1.0,7.0,4.0,7.0,4.0,8.0,2.0,3.0,4.0,1.0,7.0,1.0,3.0,5.0,5.0,6.0,8.0
office,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0
total,44.0,21.0,15.0,36.0,23.0,12.0,14.0,14.0,17.0,16.0,39.0,17.0,28.0,32.0,25.0,28.0,14.0,18.0,18.0,36.0,9.0,22.0,13.0,12.0,18.0,16.0,24.0,33.0,22.0,45.0,28.0,34.0,33.0,32.0,25.0,37.0,18.0,15.0,32.0,15.0,32.0,14.0,17.0,33.0,14.0,18.0,24.0,22.0,24.0,34.0
max,9.0,9.0,11.0,14.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,13.0,13.0,12.0,10.0,10.0,9.0,10.0,7.0,12.0,8.0,9.0,9.0,9.0,11.0,10.0,11.0,10.0,12.0,10.0,8.0,13.0,10.0,9.0,8.0,9.0,8.0,11.0,12.0,10.0,9.0,9.0,8.0,11.0,13.0,10.0,9.0,11.0
