,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
largeGathering,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dorm,7.0,8.0,18.0,6.0,17.0,12.0,17.0,8.0,2.0,11.0,14.0,11.0,5.0,20.0,10.0,20.0,21.0,9.0,17.0,12.0,3.0,16.0,16.0,8.0,24.0,15.0,4.0,13.0,13.0,22.0,3.0,17.0,7.0,9.0,28.0,7.0,20.0,24.0,7.0,37.0,32.0,4.0,31.0,21.0,14.0,5.0,18.0,5.0,4.0,37.0
classroom,4.0,2.0,11.0,4.0,12.0,10.0,10.0,6.0,1.0,10.0,3.0,10.0,4.0,14.0,3.0,15.0,18.0,10.0,9.0,2.0,0.0,4.0,11.0,3.0,16.0,6.0,3.0,7.0,4.0,14.0,2.0,4.0,6.0,3.0,15.0,2.0,15.0,13.0,1.0,11.0,17.0,3.0,19.0,8.0,6.0,2.0,13.0,1.0,2.0,22.0
dining,0.0,1.0,8.0,3.0,8.0,2.0,6.0,0.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,7.0,9.0,2.0,4.0,2.0,0.0,5.0,6.0,3.0,6.0,6.0,3.0,4.0,5.0,6.0,0.0,7.0,6.0,4.0,8.0,0.0,5.0,11.0,1.0,8.0,8.0,0.0,12.0,11.0,0.0,2.0,3.0,1.0,1.0,12.0
library,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gym,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
social,3.0,2.0,5.0,1.0,6.0,1.0,4.0,3.0,0.0,6.0,2.0,2.0,2.0,12.0,4.0,2.0,8.0,1.0,13.0,5.0,0.0,9.0,9.0,1.0,8.0,4.0,2.0,11.0,2.0,6.0,0.0,12.0,1.0,2.0,17.0,2.0,9.0,8.0,2.0,23.0,16.0,2.0,15.0,8.0,4.0,0.0,7.0,0.0,1.0,21.0
transit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
offCampus,6.0,6.0,4.0,11.0,6.0,4.0,4.0,4.0,7.0,6.0,1.0,7.0,7.0,7.0,8.0,4.0,7.0,10.0,18.0,3.0,4.0,8.0,9.0,1.0,10.0,4.0,4.0,3.0,11.0,6.0,3.0,2.0,5.0,8.0,5.0,7.0,10.0,6.0,6.0,7.0,4.0,4.0,14.0,5.0,3.0,6.0,6.0,5.0,12.0,4.0
office,1.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
total,26.0,26.0,51.0,33.0,54.0,36.0,46.0,26.0,18.0,41.0,29.0,37.0,27.0,62.0,32.0,53.0,68.0,38.0,69.0,29.0,12.0,47.0,57.0,21.0,69.0,41.0,21.0,44.0,43.0,60.0,13.0,48.0,30.0,31.0,78.0,23.0,67.0,67.0,22.0,93.0,82.0,18.0,96.0,58.0,32.0,20.0,52.0,17.0,28.0,101.0
max,9.0,13.0,11.0,10.0,13.0,12.0,13.0,9.0,6.0,13.0,11.0,10.0,7.0,11.0,8.0,13.0,12.0,7.0,13.0,10.0,8.0,16.0,12.0,12.0,14.0,9.0,8.0,16.0,9.0,16.0,9.0,17.0,10.0,11.0,14.0,11.0,12.0,15.0,10.0,17.0,12.0,7.0,14.0,11.0,8.0,9.0,12.0,12.0,9.0,21.0
