,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
largeGathering,151.0,142.0,124.0,128.0,174.0,123.0,134.0,146.0,150.0,141.0,170.0,166.0,144.0,142.0,155.0,111.0,129.0,99.0,145.0,125.0,130.0,122.0,142.0,121.0,120.0,101.0,128.0,127.0,123.0,124.0,131.0,99.0,123.0,134.0,120.0,96.0,131.0,161.0,136.0,156.0,112.0,125.0,119.0,143.0,181.0,128.0,108.0,125.0,103.0,137.0
dorm,441.0,369.0,374.0,383.0,428.0,387.0,378.0,415.0,393.0,384.0,429.0,379.0,402.0,386.0,376.0,397.0,391.0,385.0,411.0,355.0,409.0,386.0,369.0,357.0,366.0,393.0,392.0,385.0,369.0,378.0,367.0,367.0,361.0,391.0,378.0,358.0,385.0,383.0,386.0,433.0,373.0,387.0,363.0,364.0,397.0,383.0,362.0,377.0,358.0,373.0
classroom,428.0,537.0,525.0,520.0,473.0,565.0,507.0,492.0,477.0,468.0,405.0,489.0,472.0,530.0,540.0,497.0,516.0,525.0,424.0,494.0,480.0,471.0,508.0,518.0,452.0,523.0,499.0,532.0,502.0,527.0,515.0,574.0,579.0,517.0,459.0,549.0,502.0,451.0,528.0,437.0,513.0,538.0,542.0,524.0,446.0,468.0,517.0,482.0,515.0,544.0
dining,179.0,274.0,284.0,285.0,187.0,265.0,279.0,255.0,226.0,294.0,152.0,303.0,269.0,314.0,236.0,203.0,279.0,311.0,204.0,289.0,201.0,219.0,317.0,263.0,293.0,312.0,276.0,270.0,271.0,296.0,319.0,280.0,261.0,265.0,236.0,314.0,316.0,233.0,279.0,162.0,298.0,294.0,290.0,312.0,247.0,272.0,316.0,254.0,370.0,276.0
library,201.0,310.0,310.0,375.0,267.0,271.0,330.0,356.0,253.0,336.0,235.0,269.0,341.0,305.0,346.0,245.0,353.0,371.0,256.0,381.0,287.0,244.0,347.0,308.0,265.0,281.0,361.0,307.0,382.0,372.0,342.0,324.0,341.0,355.0,309.0,323.0,358.0,400.0,388.0,247.0,301.0,311.0,325.0,373.0,282.0,338.0,476.0,291.0,375.0,358.0
gym,97.0,88.0,83.0,92.0,108.0,107.0,84.0,69.0,124.0,133.0,125.0,92.0,111.0,91.0,85.0,93.0,98.0,84.0,103.0,81.0,80.0,107.0,91.0,91.0,98.0,120.0,99.0,122.0,78.0,106.0,113.0,98.0,84.0,69.0,111.0,119.0,92.0,85.0,74.0,106.0,113.0,74.0,99.0,75.0,97.0,97.0,91.0,79.0,75.0,71.0
social,571.0,567.0,566.0,524.0,459.0,541.0,537.0,514.0,534.0,525.0,508.0,525.0,481.0,507.0,557.0,561.0,516.0,495.0,526.0,566.0,547.0,603.0,506.0,627.0,648.0,506.0,525.0,523.0,539.0,486.0,499.0,552.0,543.0,495.0,572.0,534.0,488.0,481.0,499.0,502.0,520.0,565.0,525.0,493.0,523.0,573.0,438.0,646.0,493.0,524.0
transit,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0
offCampus,7.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,7.0,1.0,6.0,6.0,3.0,9.0,1.0,2.0,3.0,4.0,6.0,3.0,7.0,6.0,2.0,6.0,4.0,7.0,4.0,2.0,1.0,2.0,2.0,0.0,1.0,6.0,3.0,4.0,1.0,5.0,7.0,4.0,5.0,4.0,4.0,6.0,6.0,2.0,2.0,1.0,2.0,8.0
office,14.0,76.0,82.0,61.0,19.0,46.0,56.0,65.0,13.0,62.0,3.0,57.0,43.0,77.0,69.0,15.0,82.0,72.0,16.0,76.0,26.0,28.0,73.0,67.0,71.0,42.0,69.0,76.0,81.0,78.0,72.0,64.0,69.0,40.0,30.0,70.0,88.0,31.0,68.0,5.0,65.0,72.0,73.0,76.0,40.0,99.0,57.0,79.0,77.0,74.0
total,2100.0,2377.0,2361.0,2380.0,2127.0,2319.0,2319.0,2325.0,2189.0,2356.0,2044.0,2297.0,2277.0,2372.0,2375.0,2135.0,2378.0,2356.0,2102.0,2380.0,2178.0,2197.0,2366.0,2369.0,2327.0,2296.0,2365.0,2354.0,2358.0,2380.0,2371.0,2371.0,2372.0,2284.0,2230.0,2378.0,2371.0,2241.0,2379.0,2064.0,2311.0,2380.0,2350.0,2377.0,2230.0,2373.0,2378.0,2345.0,2380.0,2377.0
max,864.0,1393.0,1340.0,1444.0,969.0,1277.0,1257.0,1198.0,1128.0,1336.0,918.0,1320.0,1204.0,1403.0,1447.0,1015.0,1418.0,1388.0,986.0,1480.0,1077.0,1157.0,1386.0,1399.0,1327.0,1217.0,1390.0,1265.0,1458.0,1385.0,1374.0,1466.0,1455.0,1244.0,1275.0,1501.0,1285.0,1341.0,1471.0,814.0,1341.0,1438.0,1489.0,1395.0,1150.0,1387.0,1604.0,1270.0,1597.0,1441.0
